Date,Territory,Cured,Deaths,Confirmed
2020-11-10,Kerala,5983,22,3593
2020-11-11,Kerala,6698,28,6010
2020-11-12,Kerala,7252,29,7007
2020-11-13,Kerala,6119,25,5537
2020-11-14,Kerala,6201,26,5804
2020-11-15,Kerala,6793,26,6357
2020-11-16,Kerala,6684,21,4581
2020-11-17,Kerala,6567,19,2710
2020-11-18,Kerala,6620,27,5792
2020-11-19,Kerala,7066,28,6419
2020-11-20,Kerala,6860,26,5722
2020-11-21,Kerala,6398,28,6028
2020-11-22,Kerala,6719,25,5772
2020-11-23,Kerala,6227,27,5254
2020-11-24,Kerala,5425,22,3757
2020-11-25,Kerala,5149,24,5420
2020-11-26,Kerala,5770,26,6491
2020-11-27,Kerala,5970,27,5378
2020-11-28,Kerala,4544,23,3966
2020-11-29,Kerala,5275,25,6250
2020-11-30,Kerala,5861,27,5643
2020-12-01,Kerala,6055,21,3382
2020-12-02,Kerala,6151,26,5375
2020-12-03,Kerala,5924,28,6316
2020-12-04,Kerala,5590,31,5376
2020-12-05,Kerala,5496,29,5718
2020-12-06,Kerala,5820,32,5848
2020-12-07,Kerala,5217,28,4777
2020-12-08,Kerala,4705,23,3272
2020-12-09,Kerala,4735,31,5032
2020-12-10,Kerala,4647,35,4875
2020-12-11,Kerala,4847,26,4470
2020-12-12,Kerala,4748,29,4642
2020-12-13,Kerala,5268,32,5949
2020-12-14,Kerala,5258,29,4698
2020-12-15,Kerala,4481,24,2707
2020-12-16,Kerala,5066,33,5218
2020-12-17,Kerala,5728,27,6185
2020-12-18,Kerala,4970,27,4969
2020-12-19,Kerala,4701,23,5456
2020-12-20,Kerala,4749,29,6293
2020-12-21,Kerala,4471,30,5711
2020-12-22,Kerala,4494,27,3423
2020-12-23,Kerala,5057,27,6049
2020-12-24,Kerala,4808,22,6169
2020-12-25,Kerala,4801,22,5177
2020-12-26,Kerala,4506,16,5397
2020-12-27,Kerala,3782,21,3527
2020-12-28,Kerala,3463,25,4905
2020-12-29,Kerala,4172,14,3047
2020-12-30,Kerala,5029,24,5887
2020-12-31,Kerala,5707,28,6268
2021-01-01,Kerala,5376,30,5215
2021-01-02,Kerala,5111,23,4991
2021-01-03,Kerala,4985,21,5328
2021-01-04,Kerala,4668,25,4600
2021-01-05,Kerala,5145,19,3021
2021-01-06,Kerala,4922,24,5615
2021-01-07,Kerala,5110,25,6394
2021-01-08,Kerala,5639,25,5051
2021-01-09,Kerala,5324,23,5142
2021-01-10,Kerala,5424,22,5528
2021-01-11,Kerala,4659,23,4545
2021-01-12,Kerala,3922,20,3110
2021-01-13,Kerala,4270,25,5507
2021-01-14,Kerala,5158,26,6004
2021-01-15,Kerala,4337,19,5490
2021-01-16,Kerala,4603,23,5624
2021-01-17,Kerala,5011,27,5960
2021-01-18,Kerala,4408,21,5005
2021-01-19,Kerala,3921,17,3346
2021-01-20,Kerala,4296,26,6186
2021-01-21,Kerala,7364,18,6815
2021-01-22,Kerala,6229,21,6334
2021-01-23,Kerala,6108,19,6753
2021-01-24,Kerala,5283,23,6960
2021-01-25,Kerala,5173,20,6036
2021-01-26,Kerala,5606,17,3361
2021-01-27,Kerala,5290,19,6293
2021-01-28,Kerala,5006,20,5659
2021-01-29,Kerala,5594,19,5771
2021-01-30,Kerala,6398,22,6268
2021-01-31,Kerala,7032,18,6282
2021-02-01,Kerala,5730,21,5266
2021-02-02,Kerala,5215,17,3459
2021-02-03,Kerala,5747,16,5716
2021-02-04,Kerala,6380,20,6356
2021-02-05,Kerala,6341,17,6102
2021-02-06,Kerala,6653,19,5610
2021-02-07,Kerala,6178,16,5942
2021-02-08,Kerala,5948,19,6075
2021-02-09,Kerala,5959,16,3742
2021-02-10,Kerala,6475,19,5214
2021-02-11,Kerala,5745,18,5980
2021-02-12,Kerala,5692,16,5281
2021-02-13,Kerala,5332,18,5397
2021-02-14,Kerala,5835,16,5471
2021-02-15,Kerala,4692,15,4612
2021-02-16,Kerala,5073,13,2884
2021-02-17,Kerala,5439,18,4937
2021-02-18,Kerala,4832,16,4892
2021-02-19,Kerala,5193,14,4584
2021-02-20,Kerala,4854,15,4505
2021-02-21,Kerala,5841,13,4650
2021-02-22,Kerala,4345,15,4070
2021-02-23,Kerala,5037,16,2212
2021-02-24,Kerala,4823,14,4034
2021-02-25,Kerala,5885,17,4106
2021-02-26,Kerala,4652,14,3677
2021-02-27,Kerala,4142,14,3671
2021-02-28,Kerala,4650,18,3792
2021-03-01,Kerala,4333,15,3254
2021-03-02,Kerala,3475,13,1938
2021-03-03,Kerala,3512,16,2938
2021-03-04,Kerala,4031,15,2765
2021-03-05,Kerala,4156,14,2616
2021-03-06,Kerala,3638,16,2776
2021-03-07,Kerala,3517,16,2791
2021-03-08,Kerala,4039,13,2100
2021-03-09,Kerala,3030,12,1412
2021-03-10,Kerala,4386,16,2316
2021-03-12,Kerala,4192,14,2475
2021-03-13,Kerala,7130,27,3913
2021-03-14,Kerala,3256,12,2035
2021-03-15,Kerala,3238,15,1792
2021-03-16,Kerala,3463,11,1054
2021-03-17,Kerala,2884,15,1970
2021-03-18,Kerala,2815,13,2098
2021-03-19,Kerala,2119,15,1899
2021-03-20,Kerala,1965,17,1984
2021-03-21,Kerala,2211,15,2078
2021-03-22,Kerala,2251,13,1875
2021-03-23,Kerala,1766,12,1239
2021-03-24,Kerala,2172,10,1985
2021-03-25,Kerala,2060,10,2456
2021-03-26,Kerala,1865,12,1989
2021-03-27,Kerala,1917,14,1825
2021-03-28,Kerala,2084,14,2055
2021-03-29,Kerala,1853,12,2216
2021-03-30,Kerala,1897,11,1549
2021-03-31,Kerala,1946,16,2389
2021-04-01,Kerala,2039,15,2653
2021-04-02,Kerala,1835,11,2798
2021-04-03,Kerala,2287,14,2508
2021-04-04,Kerala,1660,12,2541
2021-04-05,Kerala,2173,10,2802
2021-04-06,Kerala,1866,12,2357
2021-04-07,Kerala,1898,14,3502
2021-04-08,Kerala,1955,16,3502
2021-04-09,Kerala,2205,18,4353
2021-04-10,Kerala,2475,22,5063
2021-04-11,Kerala,2584,17,6194
2021-04-12,Kerala,2358,16,6986
2021-04-13,Kerala,2474,11,5692
2021-04-14,Kerala,2959,20,7515
2021-04-15,Kerala,2642,22,8778
2021-04-16,Kerala,2700,20,8126
2021-04-17,Kerala,3792,21,10031
2021-04-18,Kerala,3654,27,13835
2021-04-19,Kerala,4565,25,18257
2021-04-20,Kerala,4305,21,13644
2021-04-21,Kerala,3880,28,19577
2021-04-22,Kerala,5431,22,22414
2021-04-23,Kerala,6370,28,26995
2021-04-24,Kerala,5663,27,28447
2021-04-25,Kerala,7067,25,26685
2021-04-26,Kerala,8122,30,28469
2021-04-27,Kerala,7943,28,21890
2021-04-28,Kerala,18413,32,32819
2021-04-29,Kerala,15505,41,35013
2021-04-30,Kerala,21116,48,38607
2021-05-01,Kerala,17500,49,37199
2021-05-02,Kerala,15493,48,35636
2021-05-03,Kerala,16296,49,31959
2021-05-04,Kerala,19519,45,26011
2021-05-05,Kerala,26148,57,37190
2021-05-06,Kerala,23106,58,41953
2021-05-07,Kerala,27152,63,42464
2021-05-08,Kerala,26662,54,38460
2021-05-09,Kerala,27456,64,41971
2021-05-10,Kerala,29318,68,35801
2021-05-11,Kerala,31209,65,27487
2021-05-12,Kerala,32978,79,37290
2021-05-13,Kerala,34600,95,43529
2021-05-14,Kerala,33733,97,39955
2021-05-15,Kerala,31319,93,34694
2021-05-16,Kerala,29442,96,32680
2021-05-17,Kerala,34296,89,29704
2021-05-18,Kerala,99651,87,21402
2021-05-19,Kerala,45926,97,31337
2020-04-11,Telengana,8,2,31
2020-04-13,Telengana,57,7,58
2020-04-15,Telengana,20,1,23
2020-04-20,Telengana,4,3,29
2020-04-23,Telengana,3,1,15
2020-04-24,Telengana,56,2,24
2020-05-03,Telengana,17,2,24
2020-05-04,Telengana,32,1,19
2020-05-10,Telengana,50,1,30
2020-05-13,Telengana,30,2,51
2020-05-14,Telengana,110,2,41
2020-05-19,Telengana,8,1,46
2020-05-20,Telengana,10,3,37
2020-05-21,Telengana,5,2,27
2020-05-22,Telengana,20,5,38
2020-05-24,Telengana,22,4,52
2020-05-25,Telengana,25,4,41
2020-05-26,Telengana,74,3,66
2020-05-27,Telengana,120,1,71
2020-05-29,Telengana,61,4,158
2020-05-30,Telengana,36,4,169
2020-05-31,Telengana,31,6,74
2020-06-01,Telengana,16,5,199
2020-06-02,Telengana,63,6,94
2020-06-03,Telengana,35,4,99
2020-06-04,Telengana,30,7,129
2020-06-05,Telengana,31,6,127
2020-06-06,Telengana,40,8,143
2020-06-07,Telengana,83,10,206
2020-06-10,Telengana,99,11,270
2020-06-11,Telengana,8,8,191
2020-06-12,Telengana,176,9,209
2020-06-13,Telengana,285,9,164
2020-06-14,Telengana,74,8,253
2020-06-15,Telengana,25,3,237
2020-06-16,Telengana,389,2,219
2020-06-17,Telengana,261,4,213
2020-06-18,Telengana,44,1,269
2020-06-19,Telengana,230,3,352
2020-06-20,Telengana,52,3,499
2020-06-21,Telengana,153,5,546
2020-06-22,Telengana,225,7,730
2020-06-23,Telengana,274,7,872
2020-06-24,Telengana,219,3,879
2020-06-25,Telengana,137,5,891
2020-06-26,Telengana,327,5,920
2020-06-27,Telengana,78,7,985
2020-06-28,Telengana,162,6,1087
2020-06-29,Telengana,244,4,983
2020-06-30,Telengana,410,6,975
2020-07-01,Telengana,1712,7,945
2020-07-02,Telengana,788,7,1018
2020-07-03,Telengana,987,8,1213
2020-07-04,Telengana,1126,8,1892
2020-07-05,Telengana,1342,5,1850
2020-07-06,Telengana,1166,7,1590
2020-07-07,Telengana,2078,11,1831
2020-07-08,Telengana,1506,7,1879
2020-07-09,Telengana,992,11,1924
2020-07-10,Telengana,913,7,1410
2020-07-11,Telengana,1013,8,1278
2020-07-12,Telengana,1714,9,1178
2020-07-13,Telengana,1563,8,1269
2020-07-14,Telengana,1197,9,1550
2020-07-15,Telengana,1161,10,1524
2020-07-16,Telengana,1159,11,1597
2020-07-17,Telengana,1296,10,1676
2020-07-18,Telengana,1410,7,1478
2020-07-19,Telengana,1902,6,1284
2020-07-20,Telengana,1831,6,1296
2020-07-21,Telengana,1885,7,1198
2020-07-22,Telengana,3062,7,1431
2020-07-23,Telengana,281,9,1554
2020-07-24,Telengana,1661,9,1567
2020-07-25,Telengana,1007,8,1640
2020-07-27,Telengana,998,8,1593
2020-07-28,Telengana,1577,17,3083
2020-07-30,Telengana,842,12,1764
2020-07-31,Telengana,821,13,1811
2020-08-01,Telengana,816,14,1986
